Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD
Date,,,,,,
2024-10-18,2720.793212890625,2720.793212890625,2721.732421875,2691.80859375,2691.846923828125,5071797
2024-10-19,2723.278076171875,2723.278076171875,2723.8466796875,2719.986328125,2720.793212890625,3396782
2024-10-20,2724.964111328125,2724.964111328125,2725.938232421875,2720.48828125,2723.278076171875,4064750
2024-10-21,2724.362548828125,2724.362548828125,2744.144775390625,2720.21044921875,2724.964111328125,8658637
2024-10-22,2764.454345703125,2764.454345703125,2789.66748046875,2720.86572265625,2724.362548828125,20921803
2024-10-23,2737.801513671875,2737.801513671875,2817.5751953125,2726.908447265625,2764.454345703125,13750957
2024-10-24,2755.84814453125,2755.84814453125,2765.274169921875,2730.492431640625,2737.263916015625,6414561
2024-10-25,2754.924560546875,2754.924560546875,2763.00146484375,2735.4189453125,2755.84814453125,6713686
2024-10-26,2749.105712890625,2749.105712890625,2768.771484375,2743.287353515625,2754.924560546875,7300974
2024-10-27,2747.179443359375,2747.179443359375,2754.2529296875,2741.46044921875,2749.105712890625,4102134
2024-10-28,2748.2421875,2748.2421875,2751.522216796875,2738.215576171875,2747.179443359375,6369656
2024-10-29,2773.729248046875,2773.729248046875,2775.921630859375,2745.316162109375,2748.2421875,6732840
2024-10-30,2788.717041015625,2788.717041015625,2791.452880859375,2772.971435546875,2773.729248046875,6679655
2024-10-31,2748.028076171875,2748.028076171875,2791.46923828125,2735.107421875,2788.710205078125,6076335
2024-11-01,2744.310546875,2744.310546875,2761.422607421875,2741.019775390625,2748.028076171875,7723385
2024-11-02,2738.221923828125,2738.221923828125,2749.157470703125,2736.877685546875,2744.291748046875,4094385
2024-11-03,2742.71630859375,2742.71630859375,2744.268798828125,2736.3681640625,2738.221923828125,4872571
2024-11-04,2739.144775390625,2739.144775390625,2750.17041015625,2735.81103515625,2742.71630859375,4492409
2024-11-05,2747.5302734375,2747.5302734375,2752.099853515625,2729.08447265625,2739.144775390625,3151069
2024-11-06,2674.5771484375,2674.5771484375,2750.6298828125,2665.243896484375,2747.5302734375,7729002
2024-11-07,2710.53515625,2710.53515625,2715.23583984375,2664.300537109375,2674.5771484375,4944940
2024-11-08,2687.062255859375,2687.062255859375,2714.538818359375,2684.254150390625,2710.54443359375,4760175
2024-11-09,2686.192138671875,2686.192138671875,2688.719482421875,2681.82080078125,2687.062255859375,4485962
2024-11-10,2684.10400390625,2684.10400390625,2686.849609375,2680.337158203125,2686.192138671875,6804680
2024-11-11,2623.795654296875,2623.795654296875,2685.75,2612.070556640625,2684.10400390625,7235807
2024-11-12,2601.9296875,2601.9296875,2626.7646484375,2591.4755859375,2623.795654296875,5974773
2024-11-13,2581.425537109375,2581.425537109375,2616.821533203125,2579.047607421875,2601.9296875,5426735
2024-11-14,2571.418212890625,2571.418212890625,2583.701416015625,2552.974853515625,2581.425537109375,5919204
2024-11-15,2567.015625,2567.015625,2580.336669921875,2563.060791015625,2571.418212890625,4151889
2024-11-16,2564.479248046875,2564.479248046875,2570.34326171875,2563.792236328125,2566.3056640625,3550470
2024-11-17,2576.839111328125,2576.839111328125,2577.213623046875,2563.51416015625,2564.479248046875,3329033
2024-11-18,2615.529296875,2615.529296875,2619.12939453125,2573.835205078125,2576.839111328125,3751670
2024-11-19,2637.81005859375,2637.81005859375,2644.37646484375,2614.081787109375,2615.529296875,5311116
2024-11-20,2654.406005859375,2654.406005859375,2657.478271484375,2626.424560546875,2637.81005859375,5486917
2024-11-21,2672.64111328125,2672.64111328125,2675.752685546875,2653.95166015625,2654.460205078125,6342851
2024-11-22,2717.710205078125,2717.710205078125,2718.720703125,2671.967529296875,2672.68505859375,4527369
2024-11-23,2719.876708984375,2719.876708984375,2725.186279296875,2714.5302734375,2717.68017578125,3657962
2024-11-24,2723.03857421875,2723.03857421875,2726.302001953125,2715.965576171875,2719.876708984375,4903095
2024-11-25,2620.739013671875,2620.739013671875,2723.678466796875,2620.557861328125,2723.03857421875,5851107
2024-11-26,2637.780517578125,2637.780517578125,2647.091552734375,2618.775146484375,2620.73193359375,6410081
2024-11-27,2645.66650390625,2645.66650390625,2662.728271484375,2636.664794921875,2637.780517578125,5653964
2024-11-28,2642.851318359375,2642.851318359375,2657.9921875,2635.082763671875,2645.66650390625,5085789
2024-11-29,2654.602783203125,2654.602783203125,2671.5537109375,2641.715576171875,2642.851318359375,4619094
2024-11-30,2655.22607421875,2655.22607421875,2659.7333984375,2651.62841796875,2654.602783203125,5310058
2024-12-01,2651.10791015625,2651.10791015625,2658.734619140625,2650.436767578125,2655.130859375,4712773
2024-12-02,2644.556640625,2644.556640625,2655.72998046875,2628.800048828125,2651.10791015625,6052246
2024-12-03,2645.96728515625,2645.96728515625,2656.6435546875,2640.565185546875,2644.56591796875,6246597
2024-12-04,2653.6064453125,2653.6064453125,2660.078857421875,2641.345703125,2645.96728515625,6730196
